type	LP	IPop	PPPGDP	LP_rank	LP_perc_Asia	LP_perc_World	IPop_rank	IPop_perc_Asia	IPop_perc_World	PPPGDP_rank	PPPGDP_perc_Asia	PPPGDP_perc_World	Language
nij	0.9174	0.1451	8.8391	127.0000	0.0477	0.0131	142.0000	0.0362	0.0054	120.0000	0.0604	0.0087	Ngaju
prd	0.7515	0.1425	6.9268	137.0000	0.0391	0.0107	143.0000	0.0356	0.0053	131.0000	0.0473	0.0068	Parsi-Dari
kfr	0.9325	0.1408	5.0820	125.0000	0.0485	0.0133	144.0000	0.0351	0.0053	145.0000	0.0347	0.0050	Kachchi
krj	0.3802	0.1407	2.5080	161.0000	0.0198	0.0054	145.0000	0.0351	0.0053	171.0000	0.0171	0.0025	Kinaray-a
ady	0.2983	0.1380	5.6298	177.0000	0.0155	0.0042	146.0000	0.0344	0.0052	141.0000	0.0384	0.0055	Adyghe
kge	0.7935	0.1255	7.6446	134.0000	0.0413	0.0113	147.0000	0.0313	0.0047	127.0000	0.0522	0.0075	Komering
new	0.9171	0.1220	2.0592	128.0000	0.0477	0.0131	148.0000	0.0305	0.0046	177.0000	0.0141	0.0020	Newari
khb	0.2585	0.1184	3.0683	187.5000	0.0134	0.0037	149.5000	0.0296	0.0044	161.5000	0.0210	0.0030	Lü
tdd	0.2585	0.1184	3.0683	187.5000	0.0134	0.0037	149.5000	0.0296	0.0044	161.5000	0.0210	0.0030	Tai Nüa
jml	0.8893	0.1183	1.9968	130.0000	0.0463	0.0127	151.0000	0.0295	0.0044	178.0000	0.0136	0.0020	Jumli
dtp	0.1677	0.1123	3.8841	199.0000	0.0087	0.0024	152.0000	0.0280	0.0042	150.0000	0.0265	0.0038	Central Dusun
taj	0.8337	0.1109	1.8720	133.0000	0.0434	0.0119	153.0000	0.0277	0.0041	181.0000	0.0128	0.0018	Eastern Tamang
grt	0.7733	0.1069	3.9534	136.0000	0.0402	0.0110	154.0000	0.0267	0.0040	149.0000	0.0270	0.0039	Garo
haz	1.8026	0.1064	3.4674	98.0000	0.0938	0.0257	155.0000	0.0266	0.0040	155.0000	0.0237	0.0034	Hazaragi
aoz	0.6695	0.1059	6.4502	141.0000	0.0348	0.0095	156.0000	0.0264	0.0040	137.0000	0.0440	0.0063	Uab Meto
kdt	0.4091	0.1039	4.9835	157.0000	0.0213	0.0058	157.0000	0.0259	0.0039	146.0000	0.0340	0.0049	Kuy
bto	0.2730	0.1010	1.8006	185.0000	0.0142	0.0039	158.0000	0.0252	0.0038	183.0000	0.0123	0.0018	Rinconada Bikol
unx_Beng	0.5968	0.0901	3.2525	146.0000	0.0310	0.0085	159.0000	0.0225	0.0034	159.0000	0.0222	0.0032	unx (Bengali)
bfy	0.6101	0.0895	2.8441	144.0000	0.0317	0.0087	160.0000	0.0223	0.0033	165.0000	0.0194	0.0028	Bagheli
tr	0.2298	0.0878	1.1896	193.0000	0.0120	0.0033	161.0000	0.0219	0.0033	195.0000	0.0081	0.0012	Turkish
uz_Arab	1.4359	0.0847	2.7621	105.0000	0.0747	0.0204	162.0000	0.0211	0.0032	166.0000	0.0189	0.0027	Uzbek (Arabic)
