type	LP	IPop	PPPGDP	LP_rank	LP_perc_Asia	LP_perc_World	IPop_rank	IPop_perc_Asia	IPop_perc_World	PPPGDP_rank	PPPGDP_perc_Asia	PPPGDP_perc_World	Language
mad	15.6211	2.4713	150.5038	33.0000	0.8127	0.2224	36.0000	0.6169	0.0923	27.0000	1.0277	0.1476	Madurese
as	16.1634	2.4407	88.0876	31.0000	0.8409	0.2302	37.0000	0.6093	0.0911	37.0000	0.6015	0.0864	Assamese
mag	14.9201	2.2529	81.3116	35.0000	0.7762	0.2125	39.0000	0.5624	0.0841	39.0000	0.5552	0.0798	Magahi
mwr	14.9201	2.2529	81.3116	35.0000	0.7762	0.2125	39.0000	0.5624	0.0841	39.0000	0.5552	0.0798	Marwari
bgc	14.9201	2.2529	81.3116	35.0000	0.7762	0.2125	39.0000	0.5624	0.0841	39.0000	0.5552	0.0798	Haryanvi
hne	13.6767	2.0652	74.5357	37.0000	0.7115	0.1947	41.0000	0.5155	0.0771	45.0000	0.5090	0.0731	Chhattisgarhi
ku_Latn	4.4007	2.0283	81.1240	60.0000	0.2289	0.0627	42.0000	0.5063	0.0757	41.0000	0.5539	0.0796	Kurdish (Latin)
za	4.2184	1.9320	50.0622	61.0000	0.2195	0.0601	43.0000	0.4823	0.0721	56.0000	0.3418	0.0491	Zhuang
nod	6.5500	1.8956	92.5920	53.0000	0.3408	0.0933	44.0000	0.4732	0.0708	34.0000	0.6322	0.0908	Northern Thai
dcc	12.3091	1.8587	67.0821	38.0000	0.6404	0.1753	45.0000	0.4640	0.0694	47.0000	0.4581	0.0658	Deccan
skr	16.6156	1.8111	75.9918	29.0000	0.8644	0.2366	46.0000	0.4521	0.0676	44.0000	0.5189	0.0746	Saraiki
ms_Arab	11.4059	1.8044	109.8917	39.0000	0.5934	0.1624	47.0000	0.4504	0.0674	32.0000	0.7504	0.1078	Malay (Arabic)
mn_Mong	3.5380	1.6204	41.9876	67.0000	0.1841	0.0504	48.0000	0.4045	0.0605	60.0000	0.2867	0.0412	Mongolian (Mongolian)
ckb	9.9573	1.5826	148.4525	41.0000	0.5180	0.1418	49.0000	0.3951	0.0591	28.0000	1.0137	0.1456	Sorani Kurdish
sou	5.4583	1.5796	77.1600	55.0000	0.2840	0.0777	50.0000	0.3943	0.0590	42.0000	0.5269	0.0757	Southern Thai
bal	8.8839	1.5317	76.9278	43.0000	0.4622	0.1265	51.0000	0.3824	0.0572	43.0000	0.5253	0.0755	Baluchi
ko	2.7033	1.5059	48.4949	79.0000	0.1406	0.0385	52.0000	0.3759	0.0562	57.0000	0.3311	0.0476	Korean
rkt	15.6494	1.4877	62.0551	32.0000	0.8141	0.2228	53.0000	0.3714	0.0555	50.0000	0.4237	0.0609	Rangpuri
bo	2.9250	1.2761	33.1934	75.0000	0.1522	0.0416	54.0000	0.3186	0.0476	69.0000	0.2267	0.0326	Tibetan
mzn	3.8489	1.2086	62.2165	64.0000	0.2002	0.0548	55.0000	0.3017	0.0451	49.0000	0.4248	0.0610	Mazanderani
min	7.4386	1.1768	71.6685	48.0000	0.3870	0.1059	56.0000	0.2938	0.0439	46.0000	0.4894	0.0703	Minangkabau
glk	3.5410	1.1119	57.2392	66.0000	0.1842	0.0504	57.0000	0.2776	0.0415	52.0000	0.3908	0.0562	Gilaki
ne	7.0909	1.0897	38.8678	50.0000	0.3689	0.1010	58.0000	0.2720	0.0407	61.0000	0.2654	0.0381	Nepali
bik	2.9245	1.0821	19.2923	76.0000	0.1521	0.0416	59.0000	0.2701	0.0404	83.0000	0.1317	0.0189	Bikol
bjj	6.9627	1.0514	37.9454	51.0000	0.3622	0.0991	60.0000	0.2625	0.0392	63.0000	0.2591	0.0372	Kanauji
war	2.8270	1.0460	18.6492	77.0000	0.1471	0.0403	61.0000	0.2611	0.0390	85.0000	0.1273	0.0183	Waray
sat	6.8384	1.0326	37.2678	52.0000	0.3558	0.0974	62.0000	0.2578	0.0385	64.0000	0.2545	0.0366	Santali
mfa	3.4115	0.9873	48.2250	70.0000	0.1775	0.0486	63.0000	0.2465	0.0369	58.0000	0.3293	0.0473	Pattani Malay
wtm	5.7194	0.8636	31.1695	54.0000	0.2975	0.0814	64.0000	0.2156	0.0322	71.0000	0.2128	0.0306	Mewati
ryu	0.9805	0.8457	35.9401	124.0000	0.0510	0.0140	65.0000	0.2111	0.0316	66.0000	0.2454	0.0353	Central Okinawan
pam	2.2421	0.8296	14.7907	86.5000	0.1166	0.0319	66.5000	0.2071	0.0310	99.5000	0.1010	0.0145	Pampanga
bhk	2.2421	0.8296	14.7907	86.5000	0.1166	0.0319	66.5000	0.2071	0.0310	99.5000	0.1010	0.0145	Albay Bicolano
bew	5.2070	0.8238	50.1679	57.0000	0.2709	0.0741	68.0000	0.2056	0.0308	55.0000	0.3426	0.0492	Betawi
ks_Arab	5.2237	0.7835	28.3577	56.0000	0.2718	0.0744	69.0000	0.1956	0.0292	72.0000	0.1936	0.0278	Kashmiri (Arabic)
tk_Latn	2.6748	0.7074	35.8403	80.0000	0.1392	0.0381	70.0000	0.1766	0.0264	67.0000	0.2447	0.0352	Turkmen (Latin)
ban	4.4632	0.7061	43.0011	59.0000	0.2322	0.0636	71.0000	0.1763	0.0264	59.0000	0.2936	0.0422	Balinese
kok	4.6004	0.6947	25.0711	58.0000	0.2393	0.0655	72.0000	0.1734	0.0259	75.0000	0.1712	0.0246	Konkani
ar	1.9699	0.6823	33.0008	93.0000	0.1025	0.0280	73.0000	0.1703	0.0255	70.0000	0.2253	0.0324	Arabic
bug	3.9910	0.6434	38.7711	62.0000	0.2076	0.0568	74.0000	0.1606	0.0240	62.0000	0.2647	0.0380	Buginese
gom	3.9787	0.6008	21.6831	63.0000	0.2070	0.0567	75.0000	0.1500	0.0224	80.0000	0.1481	0.0213	Goan Konkani
de	1.0986	0.5932	25.3092	117.0000	0.0572	0.0156	76.0000	0.1481	0.0221	74.0000	0.1728	0.0248	German
bjn	3.7244	0.5918	35.9521	65.0000	0.1938	0.0530	77.0000	0.1477	0.0221	65.0000	0.2455	0.0353	Banjar
kk_Arab	1.3825	0.5737	15.8665	107.0000	0.0719	0.0197	78.0000	0.1432	0.0214	94.0000	0.1083	0.0156	Kazakh (Arabic)
ace	3.4714	0.5492	33.4453	69.0000	0.1806	0.0494	79.0000	0.1371	0.0205	68.0000	0.2284	0.0328	Achinese
tly_Latn	0.9123	0.5355	15.5348	129.0000	0.0475	0.0130	80.0000	0.1337	0.0200	95.0000	0.1061	0.0152	Talysh (Latin)
fa	2.0014	0.5346	55.1456	91.0000	0.1041	0.0285	81.0000	0.1335	0.0200	53.0000	0.3766	0.0541	Persian
swv	3.4814	0.5257	18.9727	68.0000	0.1811	0.0496	82.0000	0.1312	0.0196	84.0000	0.1296	0.0186	Shekhawati
syl	7.8298	0.5089	24.8007	46.0000	0.4073	0.1115	83.0000	0.1270	0.0190	76.0000	0.1693	0.0243	Sylheti
lrc	1.6165	0.5076	26.1309	101.0000	0.0841	0.0230	84.0000	0.1267	0.0189	73.0000	0.1784	0.0256	Northern Luri
lmn	3.3570	0.5069	18.2951	71.5000	0.1746	0.0478	85.5000	0.1265	0.0189	86.5000	0.1249	0.0179	Lambadi
gbm	3.3570	0.5069	18.2951	71.5000	0.1746	0.0478	85.5000	0.1265	0.0189	86.5000	0.1249	0.0179	Garhwali
pag	1.3648	0.5050	9.0031	108.0000	0.0710	0.0194	87.0000	0.1261	0.0189	119.0000	0.0615	0.0088	Pangasinan
iba	0.7487	0.5014	17.3398	138.0000	0.0390	0.0107	88.0000	0.1252	0.0187	90.0000	0.1184	0.0170	Iban
zza	1.0708	0.4952	20.2094	120.0000	0.0557	0.0152	89.0000	0.1236	0.0185	81.0000	0.1380	0.0198	Zaza
rmt	1.4626	0.4593	23.6423	104.0000	0.0761	0.0208	90.0000	0.1147	0.0171	77.0000	0.1614	0.0232	Domari
gon_Telu	2.9840	0.4506	16.2623	74.0000	0.1552	0.0425	91.0000	0.1125	0.0168	93.0000	0.1110	0.0160	Gondi (Telugu)
mdh	1.1698	0.4328	7.7169	113.0000	0.0609	0.0167	92.0000	0.1080	0.0162	126.0000	0.0527	0.0076	Maguindanaon
kfy	2.7353	0.4130	14.9071	78.0000	0.1423	0.0389	93.0000	0.1031	0.0154	98.0000	0.1018	0.0146	Kumaoni
tsg	1.0723	0.3968	7.0738	119.0000	0.0558	0.0153	94.0000	0.0991	0.0148	130.0000	0.0483	0.0069	Tausug
sas	2.4052	0.3805	23.1728	81.0000	0.1251	0.0342	95.0000	0.0950	0.0142	78.0000	0.1582	0.0227	Sasak
hy	0.7757	0.3782	10.1241	135.0000	0.0404	0.0110	96.0000	0.0944	0.0141	113.0000	0.0691	0.0099	Armenian
bbc	2.2812	0.3609	21.9783	85.0000	0.1187	0.0325	97.0000	0.0901	0.0135	79.0000	0.1501	0.0216	Batak Toba
kru	2.3623	0.3567	12.8743	83.5000	0.1229	0.0336	98.5000	0.0890	0.0133	101.5000	0.0879	0.0126	Kurukh
